Tree_ID,Species,Barangay,Municipality,Latitude,Longitude,Age_Years,Height_m,Diameter_cm,Soil_Type,Survival_Status
T0283,Gmelina,San Roque,Bislig,8.41413,126.241307,5,9.6,10.8,Loam,Alive
T0284,Narra,Salvacion,Rosario,8.133804,125.627871,6,12.1,11.6,Clay,Alive
T0285,Acacia,Libertad,San Francisco,8.53531,125.322803,5,9.6,13.2,Clay,Alive
T0286,Acacia,San Isidro,Bislig,8.064617,125.06395,1,2,0.3,Sandy,Dead
T0287,Gmelina,Sta. Cruz,Rosario,8.844357,125.147124,10,19.1,19.5,Loam,Alive
T0288,Acacia,Salvacion,Prosperidad,8.614081,126.289348,10,18.4,22.4,Sandy,Dead
T0289,Mahogany,Sta. Cruz,Talacogon,8.786903,125.47311,1,2.3,1.9,Sandy,Dead
T0290,Molave,Patin-ay,Rosario,8.78117,126.237698,7,13.7,16,Clay,Alive
T0291,Gmelina,Sta. Cruz,Loreto,8.613934,125.099978,8,14.4,18.1,Sandy,Alive
T0292,Gmelina,San Roque,Loreto,8.038022,126.119311,1,0.6,4.8,Sandy,Dead
T0293,Gmelina,Taglatawan,Rosario,8.349703,126.16198,7,11.7,17.8,Clay,Alive
T0294,Acacia,Taglatawan,Loreto,8.549616,126.245802,8,15.9,16.1,Loam,Alive
T0295,Molave,Sta. Cruz,Prosperidad,8.38194,125.308531,1,0.5,0.4,Loam,Alive
T0296,Bagras,Salvacion,San Francisco,8.959827,125.717383,15,29.2,36.6,Clay,Alive
T0297,Molave,Sta. Cruz,Talacogon,8.81177,125.984718,11,18.6,24.6,Loam,Alive
T0298,Narra,Poblacion,San Francisco,8.550092,125.582979,2,3.3,3.8,Loam,Dead
T0299,Yakal,Sta. Cruz,Prosperidad,8.645811,125.42886,14,24.9,31.4,Sandy,Dead
T0300,Bagras,Patin-ay,Prosperidad,8.460539,126.262998,8,12.5,18.1,Clay,Alive
T0301,Mahogany,Poblacion,Rosario,8.32006,126.129781,9,16.1,19.6,Clay,Alive
T0302,Bagras,Taglatawan,Bunawan,8.817785,125.320267,3,4.8,4.7,Sandy,Dead
T0303,Acacia,San Roque,San Francisco,8.758185,126.115136,3,6.2,3.1,Clay,Dead
T0304,Acacia,Patin-ay,Bunawan,8.873323,125.954437,5,8.8,8.6,Loam,Alive
T0305,Bagras,San Isidro,Loreto,8.246679,126.089693,1,0.5,1,Sandy,Dead
T0306,Yakal,Sta. Cruz,San Francisco,8.65756,125.466393,5,10.1,13.9,Clay,Alive
T0307,Bagras,Poblacion,Rosario,8.355385,126.175688,4,9,9,Sandy,Dead
T0308,Bagras,Sta. Cruz,Loreto,8.83268,125.016547,9,16,20.6,Sandy,Alive
T0309,Yakal,Taglatawan,Rosario,8.148888,125.458406,8,12.8,17.6,Sandy,Alive
T0310,Narra,Libertad,Talacogon,8.643365,126.1706,6,8.3,16.1,Sandy,Alive
T0311,Yakal,San Isidro,Talacogon,8.695618,125.004827,6,10.2,12.4,Sandy,Alive
T0312,Narra,Sta. Cruz,Bunawan,8.402327,126.311394,13,22.6,29,Sandy,Alive
T0313,Yakal,Libertad,Prosperidad,8.561485,125.84099,14,29,30.1,Clay,Alive
T0314,Yakal,San Isidro,Bunawan,8.022933,125.483162,15,28.7,31.7,Clay,Alive
T0315,Gmelina,San Roque,Loreto,8.788615,125.775904,13,22.8,26.8,Loam,Alive
T0316,Gmelina,Sta. Cruz,Talacogon,8.0886,125.330918,11,20.7,25.6,Clay,Alive
T0317,Molave,Sta. Cruz,Bislig,8.299444,125.26022,6,12.6,14.4,Sandy,Alive
T0318,Bagras,Patin-ay,Talacogon,8.409905,126.259703,11,20.3,21.4,Clay,Dead
T0319,Narra,Sta. Cruz,Bislig,8.165294,126.050378,14,24.4,32.3,Sandy,Alive
T0320,Mahogany,Taglatawan,Bislig,8.298726,126.411019,10,17.4,23.1,Clay,Alive
T0321,Mahogany,Taglatawan,San Francisco,8.461733,125.721359,5,7.2,5.3,Loam,Alive
T0322,Acacia,San Isidro,San Francisco,8.080602,126.091909,2,3.7,4.7,Clay,Alive
T0323,Bagras,Taglatawan,Loreto,8.05728,125.337836,12,22.2,25.3,Sandy,Dead
T0324,Molave,Patin-ay,Bunawan,8.956615,125.103437,12,20.2,24.5,Loam,Alive
T0325,Gmelina,San Isidro,San Francisco,8.974835,125.556811,15,29.2,32.5,Loam,Alive
T0326,Yakal,San Isidro,Prosperidad,8.487571,125.05042,4,8.8,12.9,Loam,Alive
T0327,Mahogany,Sta. Cruz,Rosario,8.31519,126.157787,6,11.2,13.4,Loam,Alive
T0328,Narra,Salvacion,Prosperidad,8.936822,125.078387,12,22.4,28.9,Sandy,Alive
T0329,Gmelina,San Isidro,San Francisco,8.979551,125.217448,7,13,12.7,Loam,Alive
T0330,Narra,Sta. Cruz,Loreto,8.972005,125.912791,9,15.3,23.1,Clay,Alive
T0331,Molave,San Roque,Bislig,8.683754,125.817658,8,14,17.9,Sandy,Dead
T0332,Acacia,San Isidro,Rosario,8.543538,125.122588,6,10.4,15.5,Clay,Alive
T0333,Molave,Poblacion,Talacogon,8.664188,125.324136,10,14.5,20,Sandy,Dead
T0334,Mahogany,San Isidro,San Francisco,8.545432,125.09341,8,13.9,16,Sandy,Dead
T0335,Bagras,Patin-ay,San Francisco,8.79399,125.745884,7,12.8,17.5,Clay,Alive
T0336,Yakal,San Roque,Loreto,8.754108,125.026919,8,13.9,18.6,Loam,Alive
T0337,Narra,Poblacion,San Francisco,8.98499,126.158019,15,25.7,33.2,Clay,Alive
T0338,Narra,San Isidro,Loreto,8.282431,125.586093,3,5.8,5.1,Sandy,Dead
T0339,Acacia,Patin-ay,Talacogon,8.38042,126.163418,3,4.6,5.6,Clay,Alive
T0340,Bagras,Poblacion,Bislig,8.356671,126.136223,5,10.8,12.1,Sandy,Alive
T0341,Gmelina,Patin-ay,Loreto,8.91509,125.799543,10,21,18.3,Loam,Alive
T0342,Bagras,San Isidro,San Francisco,8.613473,125.544651,11,19.3,23.4,Loam,Alive
T0343,Bagras,Libertad,Prosperidad,8.89399,125.981439,11,21.3,22.9,Clay,Dead
T0344,Mahogany,Salvacion,Rosario,8.856874,125.176466,11,20.6,24.2,Sandy,Alive
T0345,Yakal,Sta. Cruz,Rosario,8.98411,126.00188,13,24,27.1,Sandy,Alive
T0346,Gmelina,Libertad,Rosario,8.029364,126.234438,10,18.3,21.3,Loam,Alive
T0347,Narra,San Isidro,Bislig,8.858177,126.228595,2,4,3.5,Clay,Dead
T0348,Acacia,Poblacion,San Francisco,8.901296,125.977502,9,16.1,15.3,Sandy,Dead
T0349,Yakal,San Isidro,Bislig,8.335208,125.260642,5,8.1,14.3,Loam,Dead
T0350,Bagras,Poblacion,Bunawan,8.739671,125.286891,11,21.6,27.2,Sandy,Alive
T0351,Mahogany,Taglatawan,Bunawan,8.841448,125.706931,15,26.3,33.6,Sandy,Alive
T0352,Molave,Poblacion,Bislig,8.003817,126.022504,6,10.2,14.2,Clay,Dead
T0353,Yakal,Libertad,San Francisco,8.279276,125.964323,4,6.7,9.7,Loam,Alive
T0354,Yakal,San Isidro,San Francisco,8.068505,126.144733,5,9.8,11.4,Loam,Alive
T0355,Narra,Patin-ay,Bunawan,8.766065,126.182671,13,23.8,30.1,Clay,Dead
T0356,Gmelina,Taglatawan,Bunawan,8.000188,125.253622,2,1,-0.2,Clay,Dead
T0357,Mahogany,Patin-ay,Prosperidad,8.546648,125.570601,14,25.1,33.6,Loam,Alive
T0358,Gmelina,Sta. Cruz,Bislig,8.421444,125.040763,6,11.9,12.3,Sandy,Alive
T0359,Yakal,Patin-ay,Prosperidad,8.91077,126.130943,9,17.7,23.9,Sandy,Dead
T0360,Narra,Taglatawan,Bislig,8.532676,125.952634,4,7.7,7.5,Loam,Dead
T0361,Gmelina,San Roque,San Francisco,8.096534,125.362841,1,-1,1.6,Loam,Dead
T0362,Mahogany,Taglatawan,Prosperidad,8.297238,125.449879,14,24.2,31.1,Clay,Dead
T0363,Bagras,Poblacion,Bunawan,8.877262,125.495612,6,10.6,12.9,Sandy,Dead
T0364,Gmelina,Poblacion,Bunawan,8.03467,125.87421,14,25.3,33.1,Loam,Alive
T0365,Gmelina,Salvacion,Bunawan,8.831374,125.898468,1,2.1,5.6,Loam,Alive
T0366,Narra,Salvacion,San Francisco,8.868552,125.09703,1,0.1,2,Sandy,Dead
T0367,Molave,San Roque,Bunawan,8.164825,125.255873,5,10.8,14.5,Loam,Alive
T0368,Mahogany,Patin-ay,Rosario,8.237433,125.768546,12,22.7,25.1,Sandy,Dead
T0369,Mahogany,Libertad,Rosario,8.262676,125.407353,11,19.9,27.6,Sandy,Dead
T0370,Mahogany,Salvacion,Rosario,8.070932,125.381587,1,2,1.3,Clay,Dead
T0371,Gmelina,Patin-ay,Rosario,8.238857,125.704463,9,15.9,15.7,Sandy,Alive
T0372,Narra,San Isidro,Rosario,8.61078,125.421025,8,15.8,22.3,Clay,Dead
T0373,Mahogany,San Isidro,Rosario,8.049497,126.249976,4,6.7,7.3,Clay,Dead
T0374,Narra,San Roque,Talacogon,8.572049,125.769002,11,18.9,25.9,Clay,Dead
T0375,Gmelina,Salvacion,Bislig,8.531599,126.319794,7,12.6,17.6,Loam,Alive
T0376,Narra,Patin-ay,Loreto,8.992817,125.197234,14,24.6,28.6,Clay,Alive
T0377,Mahogany,Sta. Cruz,Bislig,8.882259,126.006415,13,21,30.4,Clay,Dead
T0378,Yakal,Libertad,Prosperidad,8.955061,126.231797,8,15.6,18.7,Loam,Alive
T0379,Bagras,Poblacion,Bislig,8.871598,125.385041,4,6,4.4,Sandy,Dead
T0380,Narra,Taglatawan,Bislig,8.121025,125.628422,4,6.9,10.5,Clay,Alive
T0381,Molave,San Roque,San Francisco,8.749851,125.619013,13,21.8,31.4,Sandy,Alive
T0382,Molave,San Isidro,Prosperidad,8.010131,125.954144,6,11.5,11.1,Sandy,Dead
T0383,Narra,San Roque,Prosperidad,8.529992,126.243527,14,22.7,29.5,Loam,Alive
T0384,Acacia,Libertad,Prosperidad,8.5772,125.065609,5,8.1,12.2,Sandy,Alive
T0385,Acacia,Libertad,Bunawan,8.816723,125.101077,5,8,14.6,Loam,Alive
T0386,Molave,Patin-ay,Bunawan,8.275381,125.45947,10,15.9,22.9,Clay,Alive
T0387,Gmelina,Poblacion,Prosperidad,8.450123,125.8689,9,13.5,18.4,Sandy,Alive
T0388,Molave,San Isidro,Prosperidad,8.371172,125.901611,4,8.1,4,Sandy,Dead
T0389,Molave,Sta. Cruz,Bunawan,8.165628,125.968611,5,8.5,12.6,Sandy,Alive
T0390,Narra,Salvacion,Prosperidad,8.025448,125.968734,12,22.3,29.1,Loam,Alive
T0391,Mahogany,Sta. Cruz,Loreto,8.847139,125.796628,4,9.5,12.9,Loam,Alive
T0392,Acacia,Sta. Cruz,San Francisco,8.16736,126.458038,14,25.2,29.8,Clay,Dead
T0393,Gmelina,Sta. Cruz,Loreto,8.384207,125.058494,6,10.6,14.7,Sandy,Alive
T0394,Gmelina,Poblacion,Talacogon,8.313206,125.220593,5,9.8,10.4,Sandy,Alive
T0395,Acacia,Libertad,Bunawan,8.955919,125.47095,7,12.8,15.4,Clay,Alive
T0396,Narra,Sta. Cruz,Bunawan,8.088202,125.910316,14,22.9,27.8,Sandy,Alive
T0397,Yakal,Poblacion,Rosario,8.541408,125.231218,1,-0.1,2.4,Clay,Dead
T0398,Molave,San Roque,Bislig,8.838549,125.534278,2,2.4,3.2,Sandy,Dead
T0399,Molave,Poblacion,San Francisco,8.342448,125.405372,12,21.9,28.9,Clay,Alive
T0400,Acacia,Poblacion,Rosario,8.582984,126.499571,13,23.1,33.3,Sandy,Alive
T0401,Bagras,Sta. Cruz,Rosario,8.993848,126.320472,8,16,16.3,Sandy,Alive
T0402,Narra,San Isidro,Bislig,8.730818,125.221976,5,13,8,Loam,Alive
T0403,Gmelina,Libertad,Bislig,8.964029,126.364182,11,18.9,20,Sandy,Alive
T0404,Mahogany,Patin-ay,San Francisco,8.74586,125.823984,5,8,12.7,Loam,Alive
T0405,Mahogany,Libertad,Loreto,8.944042,125.223194,3,4,6.7,Sandy,Dead
T0406,Gmelina,Libertad,Rosario,8.491931,125.453671,4,5.8,7.5,Loam,Dead
T0407,Molave,Salvacion,Rosario,8.386541,125.766913,9,18.2,18.1,Loam,Alive
T0408,Bagras,San Roque,Bislig,8.455979,125.665184,15,27.6,36,Sandy,Dead
T0409,Bagras,San Isidro,Bunawan,8.200475,125.163896,4,5.7,7.2,Clay,Alive
T0410,Gmelina,San Isidro,Loreto,8.256048,125.046185,15,28,33.4,Loam,Alive
T0411,Narra,Patin-ay,Rosario,8.476843,126.031583,11,19.9,26.4,Clay,Alive
T0412,Molave,Sta. Cruz,Bunawan,8.64447,126.229697,9,14.9,18.4,Clay,Dead
T0413,Yakal,San Roque,Bunawan,8.008863,126.496731,8,16.2,14.7,Sandy,Alive
T0414,Molave,Salvacion,Prosperidad,8.005666,126.405637,12,23.4,27.8,Loam,Alive
T0415,Acacia,Poblacion,Talacogon,8.613604,125.132907,9,14.8,21.8,Loam,Alive
T0416,Gmelina,Poblacion,Rosario,8.024498,125.459206,8,14.6,17.3,Sandy,Dead
T0417,Molave,Libertad,Bunawan,8.072316,126.432673,11,20.4,25.8,Clay,Alive
T0418,Mahogany,San Roque,San Francisco,8.842074,125.363347,6,8.4,11.7,Clay,Alive
T0419,Gmelina,Taglatawan,San Francisco,8.281004,126.205224,14,24.5,29.4,Loam,Alive
T0420,Acacia,Taglatawan,Prosperidad,8.583257,126.263346,1,1.9,2.2,Loam,Dead
T0421,Mahogany,Libertad,Loreto,8.357814,125.971726,6,11.7,11.5,Loam,Alive
T0422,Narra,San Isidro,San Francisco,8.453947,126.232148,6,11.1,12.2,Sandy,Alive
T0423,Molave,Taglatawan,Bislig,8.713953,126.233802,8,15.2,14.1,Sandy,Alive
T0424,Gmelina,San Roque,Talacogon,8.916792,126.080983,12,18.8,26.3,Loam,Alive
T0425,Molave,San Roque,Bunawan,8.629558,125.081498,12,20.3,26,Clay,Alive
T0426,Gmelina,Salvacion,Rosario,8.783017,126.072558,6,10.3,13.5,Clay,Dead
T0427,Bagras,San Isidro,Loreto,8.00382,125.370236,9,15.9,20.1,Loam,Alive
T0428,Narra,San Roque,Prosperidad,8.866548,125.857714,2,3.4,6.3,Sandy,Dead
T0429,Acacia,Patin-ay,Talacogon,8.377318,126.446118,5,10.1,11.2,Loam,Alive
T0430,Molave,Salvacion,Bislig,8.675848,125.208674,5,10.4,13.5,Sandy,Dead
T0431,Bagras,Poblacion,Bunawan,8.761038,126.426159,15,30.4,32.2,Loam,Dead
T0432,Bagras,San Roque,Prosperidad,8.104808,125.747856,7,8.4,15.4,Clay,Alive
T0433,Acacia,Libertad,Rosario,8.208883,125.553061,12,21.9,23.7,Loam,Alive
T0434,Molave,Sta. Cruz,Bislig,8.719654,125.556742,6,12.4,13,Loam,Alive
T0435,Yakal,Sta. Cruz,Loreto,8.677813,125.911628,2,4.6,4.1,Clay,Alive
T0436,Acacia,San Roque,Loreto,8.737097,126.461888,12,23.9,24.9,Clay,Alive
T0437,Bagras,Taglatawan,Rosario,8.890215,125.431114,3,6.9,7.6,Sandy,Dead
T0438,Gmelina,Libertad,Prosperidad,8.543806,125.1498,10,17.7,20,Clay,Alive
T0439,Mahogany,Sta. Cruz,Bislig,8.40429,125.796407,6,12.2,11.3,Loam,Alive
T0440,Molave,Libertad,Prosperidad,8.041657,125.596471,1,3.4,0.8,Loam,Dead
T0441,Yakal,Poblacion,Talacogon,8.521296,126.464021,11,18.7,24.5,Loam,Alive
T0442,Bagras,Patin-ay,Bunawan,8.367734,125.272609,7,12.8,18.5,Sandy,Alive
T0443,Yakal,Libertad,Bislig,8.371739,125.00203,11,20.7,28.2,Sandy,Dead
T0444,Mahogany,Poblacion,Loreto,8.67558,125.820445,8,15.4,19,Sandy,Alive
T0445,Bagras,Patin-ay,Talacogon,8.398005,125.454374,3,5.9,6.9,Clay,Dead
T0446,Mahogany,San Isidro,Talacogon,8.473401,125.089575,12,21.6,26.9,Clay,Dead
T0447,Molave,Patin-ay,Rosario,8.075605,125.548521,11,21,27.1,Sandy,Dead
T0448,Narra,Patin-ay,Rosario,8.847194,125.472721,3,5.9,5.9,Sandy,Dead
T0449,Acacia,Taglatawan,Rosario,8.388166,126.011195,11,21.7,22.4,Sandy,Alive
T0450,Bagras,Taglatawan,San Francisco,8.060629,126.035,10,16.7,26.2,Sandy,Alive
T0451,Yakal,Poblacion,Rosario,8.957934,125.79449,15,27.7,32.7,Sandy,Dead
T0452,Gmelina,Patin-ay,Prosperidad,8.620909,126.39299,14,28.5,27,Clay,Alive
T0453,Acacia,Taglatawan,San Francisco,8.0439,125.248625,13,24.8,28.5,Loam,Alive
T0454,Bagras,San Isidro,Bislig,8.136999,126.492472,2,3,5.6,Clay,Dead
T0455,Gmelina,Libertad,Loreto,8.196926,126.427145,8,12,18.5,Loam,Alive
T0456,Acacia,San Roque,Bunawan,8.593561,125.109622,6,11.6,14.7,Loam,Alive
T0457,Bagras,San Isidro,Bunawan,8.698311,125.592809,2,3.5,5.2,Sandy,Dead
T0458,Bagras,Libertad,Bislig,8.773089,125.465,14,27.3,33.2,Sandy,Alive
T0459,Molave,Sta. Cruz,Prosperidad,8.565085,126.15744,6,12.5,13.9,Sandy,Dead
T0460,Molave,San Roque,Prosperidad,8.376986,125.827985,15,25.1,34.2,Sandy,Alive
T0461,Yakal,Salvacion,Loreto,8.848042,126.093292,11,18.5,22.6,Sandy,Alive
T0462,Acacia,Patin-ay,Bunawan,8.894643,125.000664,4,6.1,5.7,Loam,Dead
T0463,Narra,Poblacion,San Francisco,8.993255,125.067367,13,26.8,28,Clay,Alive
T0464,Molave,Patin-ay,Bunawan,8.032618,125.086554,7,9.8,17.4,Clay,Alive
T0465,Yakal,Taglatawan,Prosperidad,8.251001,125.846111,11,21.5,23.7,Sandy,Dead
T0466,Molave,Patin-ay,Loreto,8.877356,126.461558,7,10.3,15.5,Loam,Alive
T0467,Gmelina,Sta. Cruz,Prosperidad,8.036019,125.262833,2,2,5.8,Loam,Dead
T0468,Yakal,San Roque,Rosario,8.71916,125.844987,5,11.4,11.2,Sandy,Alive
T0469,Yakal,Poblacion,Bunawan,8.35305,126.341141,7,12.1,17.6,Loam,Alive
T0470,Narra,Sta. Cruz,Loreto,8.823161,126.333331,2,4.2,1.7,Loam,Alive
T0471,Yakal,Patin-ay,Loreto,8.331565,126.282545,12,19.5,29.2,Clay,Alive
T0472,Molave,Patin-ay,Loreto,8.879497,125.690004,15,27.7,33.8,Loam,Alive
T0473,Yakal,Sta. Cruz,Talacogon,8.693618,126.156684,10,18.1,24.6,Sandy,Alive
T0474,Yakal,Libertad,Loreto,8.045403,125.435044,13,24.4,23.5,Sandy,Alive
T0475,Acacia,Poblacion,Rosario,8.973078,125.339188,6,10.8,12.8,Clay,Dead
T0476,Yakal,Libertad,San Francisco,8.051901,125.286678,12,22.6,24.1,Sandy,Dead
T0477,Acacia,Poblacion,Bunawan,8.848425,125.633944,2,2.3,2.6,Loam,Alive
T0478,Gmelina,Patin-ay,Talacogon,8.336965,126.499316,4,9.4,5.4,Loam,Alive
T0479,Bagras,Taglatawan,Talacogon,8.078456,125.816745,10,15.4,22.3,Clay,Alive
T0480,Mahogany,Patin-ay,Bunawan,8.481867,125.542565,4,5.8,9.5,Loam,Dead
T0481,Bagras,Libertad,Bislig,8.780732,126.062735,3,6.3,6.2,Sandy,Dead
T0482,Bagras,San Roque,San Francisco,8.697209,126.07149,11,19.4,24.6,Loam,Alive
T0483,Bagras,Patin-ay,Bislig,8.850472,125.516906,2,2.8,5.5,Loam,Dead
T0484,Mahogany,Patin-ay,Talacogon,8.33561,126.467788,3,5.9,5.7,Sandy,Dead
T0485,Bagras,Patin-ay,San Francisco,8.435324,125.823965,1,0.2,1.4,Loam,Dead
T0486,Narra,Sta. Cruz,Loreto,8.734444,125.576533,3,4.8,7.2,Sandy,Dead
T0487,Yakal,Salvacion,Prosperidad,8.615912,126.264917,7,13.8,13.4,Sandy,Dead
T0488,Gmelina,Taglatawan,Talacogon,8.54643,126.450553,3,2.7,5.3,Sandy,Dead
T0489,Mahogany,San Isidro,Rosario,8.118492,126.44227,14,22,33,Loam,Alive
T0490,Bagras,Salvacion,Loreto,8.865296,125.23591,4,5,10.8,Sandy,Dead
T0491,Molave,Taglatawan,Prosperidad,8.501515,125.106337,14,26.9,34.7,Loam,Alive
T0492,Bagras,Sta. Cruz,Bislig,8.906087,125.018235,8,14.5,16.3,Sandy,Alive
T0493,Acacia,Patin-ay,Rosario,8.306777,125.529438,1,1.6,3.6,Clay,Dead
T0494,Bagras,Patin-ay,Rosario,8.605505,125.370697,1,1,-1.2,Loam,Dead
T0495,Narra,Taglatawan,Rosario,8.332456,125.084878,15,27.2,32.9,Loam,Alive
T0496,Molave,Libertad,San Francisco,8.733487,125.174286,7,14.9,14.4,Sandy,Alive
T0497,Bagras,Libertad,Loreto,8.277853,125.414479,10,18.6,21.9,Clay,Alive
T0498,Bagras,Patin-ay,Loreto,8.547785,126.468436,9,17.5,21.9,Loam,Alive
T0499,Molave,Patin-ay,Rosario,8.346524,125.596419,11,20.4,29.1,Loam,Alive
T0500,Narra,Salvacion,Rosario,8.6307,125.824409,6,10.9,14,Loam,Alive
T0501,Gmelina,San Roque,Prosperidad,8.075584,126.427135,11,22.4,22.9,Clay,Alive
T0502,Acacia,Poblacion,Talacogon,8.092095,125.830069,5,10.2,8.7,Loam,Dead
T0503,Narra,Poblacion,Talacogon,8.610007,125.469361,4,10.4,6.8,Clay,Alive
T0504,Gmelina,Libertad,Rosario,8.939057,125.010023,8,16.9,19,Sandy,Dead
T0505,Yakal,Poblacion,Rosario,8.408152,125.023092,4,7.3,10.2,Clay,Dead
T0506,Mahogany,San Roque,Loreto,8.220484,126.088589,14,26,28.8,Loam,Dead
T0507,Yakal,Patin-ay,Rosario,8.101893,125.01248,6,11.9,12.6,Sandy,Alive
T0508,Acacia,Taglatawan,Bislig,8.807189,126.291979,4,9.7,7.8,Clay,Alive
T0509,Narra,San Roque,Loreto,8.589454,125.919938,9,18,21.9,Clay,Alive
T0510,Bagras,Patin-ay,Bislig,8.653994,126.227554,15,25.8,31.6,Sandy,Alive
T0511,Molave,Sta. Cruz,Bunawan,8.24756,125.093789,13,21.3,27.9,Loam,Alive
T0512,Mahogany,San Isidro,Bunawan,8.594803,125.558301,7,13.2,16.3,Clay,Dead
T0513,Mahogany,Sta. Cruz,San Francisco,8.932711,125.816381,14,25.7,25.8,Sandy,Alive
T0514,Acacia,Libertad,Bunawan,8.98766,125.437244,14,26.2,30.4,Loam,Alive
T0515,Molave,San Roque,San Francisco,8.538332,125.40328,12,23.1,25.9,Sandy,Dead
T0516,Molave,Salvacion,San Francisco,8.833643,125.749148,2,4.4,4.8,Clay,Alive
T0517,Gmelina,Sta. Cruz,Bunawan,8.824743,125.438575,11,17.9,25.1,Sandy,Alive
T0518,Gmelina,Salvacion,Bislig,8.407633,125.704288,8,13.7,20.5,Loam,Alive
T0519,Mahogany,Libertad,Bislig,8.260237,125.239238,13,24.6,29.3,Loam,Alive
T0520,Narra,San Roque,Prosperidad,8.685134,125.165648,5,11.8,7,Loam,Alive
T0521,Narra,Sta. Cruz,Loreto,8.742531,125.114954,8,13.4,19.6,Loam,Dead
T0522,Yakal,San Roque,Loreto,8.952815,125.490114,10,15.9,20.4,Clay,Alive
T0523,Gmelina,Salvacion,San Francisco,8.318609,126.355338,6,11.1,19.2,Sandy,Alive
T0524,Yakal,Libertad,Rosario,8.858817,126.015411,1,1,-1.9,Sandy,Dead
T0525,Yakal,Poblacion,Talacogon,8.013251,125.443914,15,25.5,34.1,Clay,Alive
T0526,Gmelina,Poblacion,Rosario,8.229598,125.176327,1,2.7,3,Sandy,Dead
T0527,Mahogany,Taglatawan,San Francisco,8.789432,125.44518,6,9.7,10.7,Loam,Alive
T0528,Yakal,Patin-ay,Rosario,8.222361,125.778837,12,20.3,25.4,Clay,Alive
T0529,Narra,Taglatawan,Bunawan,8.267601,125.503511,14,25.4,31.7,Loam,Alive
T0530,Mahogany,San Roque,Rosario,8.415775,125.643417,3,4.1,10,Clay,Dead
T0531,Narra,Poblacion,Loreto,8.203667,125.491328,13,23.9,30.4,Sandy,Alive
T0532,Acacia,Taglatawan,Loreto,8.115395,125.908457,13,22.1,27.8,Clay,Alive
T0533,Bagras,Salvacion,Loreto,8.206252,125.587789,1,3.4,3.6,Loam,Dead
T0534,Bagras,San Roque,Rosario,8.776489,125.917005,11,19.7,22.7,Sandy,Alive
T0535,Gmelina,San Isidro,Bunawan,8.628426,126.032947,12,22.1,27.6,Loam,Alive
T0536,Acacia,Sta. Cruz,San Francisco,8.752638,125.697583,6,10.7,15.6,Loam,Alive
T0537,Acacia,Poblacion,Talacogon,8.791558,125.676941,3,4.9,9,Loam,Dead
T0538,Yakal,Taglatawan,Loreto,8.013368,125.614609,9,15.8,21.7,Sandy,Alive
T0539,Gmelina,Libertad,San Francisco,8.968066,125.099847,9,16.1,20.5,Loam,Alive
T0540,Narra,Sta. Cruz,Bislig,8.989218,125.347323,13,20.6,29.8,Clay,Alive
T0541,Molave,San Isidro,Loreto,8.350521,125.5588,11,18.5,27.1,Clay,Alive
T0542,Narra,Poblacion,San Francisco,8.045319,125.524917,11,21.5,23.4,Loam,Alive
T0543,Gmelina,Taglatawan,Bislig,8.373241,125.947983,2,4,7.4,Sandy,Dead
T0544,Acacia,Patin-ay,San Francisco,8.766515,125.87557,5,5.8,11.6,Loam,Alive
T0545,Gmelina,Taglatawan,Bunawan,8.758502,125.021942,3,7.5,8,Sandy,Dead
T0546,Bagras,Poblacion,Bislig,8.194975,126.335614,13,22.7,27.2,Loam,Alive
T0547,Gmelina,San Roque,Bunawan,8.433163,126.161454,10,20.8,24.2,Sandy,Alive
T0548,Yakal,Sta. Cruz,Loreto,8.473921,126.074596,6,12.9,9.7,Sandy,Alive
T0549,Bagras,Patin-ay,Bunawan,8.599771,126.292271,14,25.2,32.6,Clay,Alive
T0550,Bagras,Taglatawan,Bunawan,8.076972,126.044234,12,18.9,22.3,Clay,Dead
T0551,Narra,Salvacion,Rosario,8.431087,125.824014,9,16.3,19.7,Sandy,Dead
T0552,Gmelina,Poblacion,Prosperidad,8.324512,125.404268,12,19,25.8,Sandy,Dead
T0553,Narra,Patin-ay,San Francisco,8.823767,125.09471,5,9.8,12.3,Loam,Alive
T0554,Gmelina,Poblacion,Prosperidad,8.187722,125.132577,5,8,11.9,Clay,Alive
T0555,Molave,Patin-ay,Bislig,8.46399,125.396007,13,22.9,29.6,Loam,Alive
T0556,Acacia,Poblacion,San Francisco,8.038979,126.000271,6,8.8,12.6,Loam,Alive
T0557,Mahogany,Libertad,Bunawan,8.736229,125.654629,13,23.9,29.2,Sandy,Alive
T0558,Mahogany,Taglatawan,Bislig,8.576702,125.100884,11,20.9,25.4,Loam,Alive
T0559,Molave,Libertad,Loreto,8.997628,125.362245,15,25.4,30.7,Loam,Dead
T0560,Yakal,Taglatawan,Talacogon,8.891711,126.273769,6,8.1,14.5,Sandy,Dead
T0561,Gmelina,Taglatawan,Talacogon,8.232018,125.021572,14,25.6,31.8,Clay,Alive
T0562,Mahogany,Libertad,Prosperidad,8.132645,125.767454,10,21,24,Clay,Dead
T0563,Yakal,Taglatawan,Bunawan,8.586937,125.871426,13,25.4,30.2,Sandy,Dead
T0564,Bagras,Poblacion,San Francisco,8.138435,125.86826,3,4.9,8.5,Loam,Dead
T0565,Yakal,Libertad,Bislig,8.618527,125.949609,5,10.7,12.1,Sandy,Dead
